Company Name,Symbol,Price (Rs),Issued Quantity,Market Capitalization,Market Cap. (as a % of Total Market Cap.)
JOHN KEELLS HOLDINGS PLC,JKH.N0000,188.5,1386987532,2.61E+11,6.27
EXPOLANKA HOLDINGS PLC,EXPO.N0000,124.25,1954915000,2.43E+11,5.82
L O L C HOLDINGS PLC,LOLC.N0000,395.75,475200000,1.88E+11,4.51
CEYLON TOBACCO COMPANY PLC,CTC.N0000,996.25,187323751,1.87E+11,4.47
SRI LANKA TELECOM PLC,SLTL.N0000,89.2,1804860000,1.61E+11,3.86
LOLC FINANCE PLC,LOFC.N0000,4.8,33079212299,1.59E+11,3.81
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,25.6,4600000000,1.18E+11,2.82
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,83.5,1236525395,1.03E+11,2.48
MELSTACORP PLC,MELS.N0000,78.3,1165397072,91250590737,2.19
CARGILLS (CEYLON) PLC,CARG.N0000,345.5,257677731,89027656060,2.13
DIALOG AXIATA PLC,DIAL.N0000,10.5,8247640305,86600223202,2.08
BROWNS INVESTMENTS PLC,BIL.N0000,5.2,14369717460,74722530792,1.79
SAMPATH BANK PLC,SAMP.N0000,62.6,1172700760,73411067576,1.76
LION BREWERY (CEYLON) PLC,LION.N0000,906.5,80000000,72520000000,1.74
HATTON NATIONAL BANK PLC,HNB.N0000,160.25,446651811,71575952712,1.72
HAYLEYS PLC,HAYL.N0000,87,750000000,65250000000,1.56
LANKA IOC PLC,LIOC.N0000,105,532465705,55908899025,1.34
AITKEN SPENCE PLC,SPEN.N0000,129,405996045,52373489805,1.26
CARSON CUMBERBATCH PLC,CARS.N0000,251.25,196386914,49342212142,1.18
CEYLINCO INSURANCE PLC,CINS.N0000,2350,20000000,47000000000,1.13
VALLIBEL ONE PLC,VONE.N0000,40.8,1138915644,46467758275,1.11
C T HOLDINGS PLC,CTHR.N0000,230,201406978,46323604940,1.11
HEMAS HOLDINGS PLC,HHL.N0000,74,596643192,44151596208,1.06
CEYLON COLD STORES PLC,CCS.N0000,46.1,950400000,43813440000,1.05
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,21,2035038275,42735803775,1.02
SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,479,86279834,41328040486,0.99
BUKIT DARAH PLC,BUKI.N0000,377.25,102000000,38479500000,0.92
LB FINANCE PLC,LFIN.N0000,64,554057136,35459656704,0.85
DFCC BANK PLC,DFCC.N0000,78.3,421948655,33038579686,0.79
ROYAL CERAMICS LANKA PLC,RCL.N0000,29,1107893840,32128921360,0.77
JOHN KEELLS HOTELS PLC,KHL.N0000,20.9,1456146780,30433467702,0.73
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,26.5,1137533596,30144640294,0.72
NATIONS TRUST BANK PLC,NTB.N0000,100.75,276247381,27831923635,0.67
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,59,442775300,26123742700,0.63
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,1240.5,20988090,26035725645,0.62
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,68,375000000,25500000000,0.61
PGP GLASS CEYLON PLC,GLAS.N0000,26.2,950086080,24892255296,0.6
WINDFORCE PLC,WIND.N0000,18.3,1350768942,24719071638,0.59
SUNSHINE HOLDINGS PLC,SUN.N0000,50.2,491973629,24697076175,0.59
First Capital Treasuries PLC,FCT.N0000,40.1,615600000,24685560000,0.59
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,61.5,399464362,24567058263,0.59
TEEJAY LANKA PLC,TJL.N0000,34.2,716739975,24512507145,0.59
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,72.8,336290010,24481912728,0.59
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,107,227354462,24326927434,0.58
THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,106.5,223732169,23827475998,0.57
BROWN & COMPANY PLC,BRWN.N0000,110,212625000,23388750000,0.56
UNION ASSURANCE PLC,UAL.N0000,39.5,589285720,23276785940,0.56
HUNAS HOLDINGS PLC,HUNA.N0000,26.3,843750000,22190625000,0.53
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,90,240000000,21600000000,0.52
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,10.5,2041883116,21439772718,0.51
