name,n,rmse,mae,r2,median_abs_error,directional_accuracy,pearson_r,spearman_rho,rmse_normalized,skill_rmse_vs_zero,skill_mse_vs_zero,delta_rmse_vs_zero,delta_mae_vs_zero
with_regime_features/ridge,40,2.580379414078541,1.8724195112224655,0.11488394784446343,1.3002590784547383,0.55,0.3566446755556015,0.27429643527204506,0.9408060651141322,0.10061553471915496,0.1911075836114885,0.2886710461968458,0.04819676707284093
multi_task_mlp (cached),40,2.6852470339982966,2.1019583823101446,0.041479134660681094,1.6172437896923033,0.575,0.3152936608575282,0.27936210131332084,0.9790407883940888,0.0640642013174797,0.12402418074451282,0.18380342627709023,-0.1813421040148382
ensemble_shrunk(alpha=0.7),40,2.6957917452801627,1.9088516516509795,0.033936312036984106,1.4112421316252728,0.625,0.21508781590393378,0.23958724202626647,0.9828853890271316,0.060388869904572484,0.11713092420079341,0.17325871499522405,0.011764626644326981
ensemble_original(frozen),40,2.697458868617562,1.9923385117375318,0.0327410822368136,1.6261730581129115,0.625,0.21508781590393378,0.23958724202626647,0.9834932220219855,0.0598077984453973,0.11603862413590937,0.17159159165782478,-0.07172223344222539
with_smogn/ridge,40,2.723598986015107,1.897092867737357,0.01390352191896993,1.1304002038068093,0.575,0.22710819180818737,0.2898686679174485,0.9930239060974465,0.05069672920507595,0.09882330005805917,0.14545147426027993,0.023523410557949376
k=20/ridge,40,2.723598986015107,1.897092867737357,0.01390352191896993,1.1304002038068093,0.575,0.22710819180818737,0.2898686679174485,0.9930239060974465,0.05069672920507595,0.09882330005805917,0.14545147426027993,0.023523410557949376
no_smogn/random_forest,40,2.744738393708208,2.050437093114803,-0.0014631987193698404,1.5327895743996107,0.575,0.13307260391479317,0.11951219512195123,1.0007313319364841,0.04332864419374716,0.0847799169798259,0.12431206656717864,-0.1298208148194966
no_smogn/ridge,40,2.7568049560570578,1.9596704010416517,-0.010287923721049363,1.2224631686833305,0.525,0.14054012010502945,0.27073170731707324,1.0051307993097462,0.03912287558984062,0.07671515178526311,0.11224550421832902,-0.03905412274634523
extratrees,40,2.760602287234377,2.0016429290955435,-0.013073060931960923,1.2031096097164706,0.575,0.14840828635796888,0.09643527204502816,1.0065153058607508,0.03779932578481038,0.07416986253983449,0.10844817304100962,-0.08102665080023708
ensemble_oof_weighted,40,2.7721502713711477,2.0709328176536608,-0.02156643997745733,1.3864716978038731,0.575,0.11601502963682518,0.023452157598499064,1.0107256996720018,0.033774306254250486,0.06640790874554492,0.09690018890423913,-0.15031653935835432
k=5/ridge,40,2.778048321427961,1.9617502592334677,-0.025918050889560007,1.192645805395892,0.6,0.08212190867198571,0.04465290806754222,1.012876128107263,0.03171855640304444,0.06243104598579585,0.09100213884742558,-0.04113398093816123
with_smogn/random_forest,40,2.816783283903421,2.1218102003517223,-0.054726722903713165,1.6948179404902413,0.575,0.05848121218804561,-0.04859287054409006,1.0269988913838775,0.01821758700157161,0.03610329352698338,0.052267176371965984,-0.20119392205641584
k=8/ridge,40,2.92019342454919,1.9920031081830394,-0.13359081274288553,1.1900092225184675,0.6,-0.04567583877796316,0.016885553470919325,1.0647022178726244,-0.017825745828427886,-0.03596924887119557,-0.05114296427380305,-0.07138682988773293
k=10/ridge,40,2.9273115720918486,2.053153661287741,-0.13912394010933826,1.3531078582870733,0.575,-0.027085480194578487,0.07579737335834899,1.0672974937239093,-0.020306757452732027,-0.04102587930370838,-0.058261111816461764,-0.13253738299243456
k=12/ridge,40,2.934410176604955,2.0768691816553675,-0.14465529164098068,1.3290751987431317,0.55,-0.025053424699949145,0.0851782363977486,1.0698856441886586,-0.022780957405431845,-0.04608088683117173,-0.06535971632956805,-0.15625290336006104
no_smogn/xgboost,40,2.9479785364059734,2.1431620254736474,-0.1552652615263972,1.5947460067293382,0.625,-0.026311109700504556,-0.05759849906191371,1.074832666756271,-0.027510173565581164,-0.055777156780771,-0.07892807613058661,-0.22254574717834097
with_smogn/xgboost,40,2.9781269450475305,2.219185496996084,-0.17901543853141821,1.8743305004974062,0.625,-0.05258006834879961,-0.10318949343339588,1.0858247734010393,-0.038018322187917786,-0.07748203719782021,-0.10907648477214371,-0.29856921870077735
single_task_mlp,40,3.1621471211460306,2.262510202438281,-0.32922109163289326,1.2362781754645218,0.6,0.1358561936543075,0.20637898686679176,1.15291851040431,-0.10215807108617758,-0.21475241366040398,-0.2930966608706438,-0.3418939241429746
