model,result_class,n,n_recovered,n_censored,C_index,C_index_CI,Integrated_Brier_Score,Median_abs_error_uncensored,MAE_uncensored_diagnostic,RMSE_uncensored_diagnostic,max_abs_calibration_gap,p_holm,holm_significant,verdict
two_stage_lognormal_k20,primary (censoring-aware survival),40,14,26,0.5345744680851063,"[0.371, 0.697]",0.3376313142390658,6.0,12.785714285714286,23.882151135463968,0.29727028064891825,1.0,False,B - suggestive but uncertain
two_stage_weibull_k20,primary (censoring-aware survival),40,14,26,0.526595744680851,"[0.367, 0.682]",0.3607346632696925,7.0,13.5,24.054996510971627,0.30276037555640367,1.0,False,B - suggestive but uncertain
two_stage_lognormal_k10,primary (censoring-aware survival),40,14,26,0.5132978723404256,"[0.357, 0.669]",0.273204556065407,6.0,6.642857142857143,8.564878449642054,0.33516244933724926,1.0,False,B - suggestive but uncertain
km_train_baseline,primary (censoring-aware survival),40,14,26,0.5026595744680851,"[0.368, 0.646]",0.20760586203097295,3.0,5.285714285714286,7.377572190671632,0.16601354740740926,1.0,False,B - suggestive but uncertain
train_median_baseline,primary (censoring-aware survival),40,14,26,0.5026595744680851,"[0.368, 0.646]",0.3138528138528137,3.0,5.285714285714286,7.377572190671632,0.3939393939393938,1.0,False,B - suggestive but uncertain
aalen_johansen_competing_risks,primary (censoring-aware survival),40,14,26,0.5026595744680851,"[0.368, 0.646]",0.20916997180188335,3.0,5.285714285714286,7.377572190671632,0.18048014787145217,1.0,False,B - suggestive but uncertain
aft_lognormal_k20,primary (censoring-aware survival),40,14,26,0.48404255319148937,"[0.282, 0.641]",0.4564260777426952,11.0,33.357142857142854,49.5284910790893,0.16234688017369703,1.0,False,C - unsupported
two_stage_weibull_k10,primary (censoring-aware survival),40,14,26,0.4787234042553192,"[0.328, 0.628]",0.30487653374846796,6.0,7.142857142857143,9.665845613735584,0.35411030586973113,1.0,False,C - unsupported
aft_lognormal_k10,primary (censoring-aware survival),40,14,26,0.4787234042553192,"[0.289, 0.657]",0.33230169907627455,4.5,16.928571428571427,32.609157346628,0.2732395938382486,1.0,False,C - unsupported
two_stage_lognormal_k5,primary (censoring-aware survival),40,14,26,0.44680851063829785,"[0.273, 0.628]",0.2733472950226018,6.0,6.428571428571429,8.176621726430962,0.28298485213527624,1.0,False,C - unsupported
aft_weibull_k20,primary (censoring-aware survival),40,14,26,0.44680851063829785,"[0.224, 0.629]",0.46964226928406827,11.0,30.857142857142858,46.40966648077901,0.17956297146655809,1.0,False,C - unsupported
two_stage_weibull_k5,primary (censoring-aware survival),40,14,26,0.4308510638297872,"[0.264, 0.606]",0.27860851249830826,6.0,7.357142857142857,8.916277250063503,0.288280232829482,1.0,False,C - unsupported
aft_weibull_k10,primary (censoring-aware survival),40,14,26,0.4308510638297872,"[0.248, 0.615]",0.3619636657271198,4.5,17.5,33.08970491600932,0.28301862585811866,1.0,False,C - unsupported
aft_weibull_k5,primary (censoring-aware survival),40,14,26,0.3696808510638298,"[0.222, 0.539]",0.3305474418362566,10.0,20.142857142857142,33.37663853655727,0.2618466385220214,1.0,False,C - unsupported
aft_lognormal_k5,primary (censoring-aware survival),40,14,26,0.3617021276595745,"[0.202, 0.535]",0.31539973606581595,9.0,18.428571428571427,32.83508576420743,0.2532719210545278,1.0,False,C - unsupported
cox_k5,primary (censoring-aware survival),40,14,26,0.3537234042553192,"[0.219, 0.505]",0.3032863351556041,3.5,16.142857142857142,32.45876505000504,0.22100924324171045,1.0,False,C - unsupported
