model,n,n_recovered,n_censored,C_index,C_index_CI,Integrated_Brier_Score,Median_abs_error_uncensored,mae_uncensored,rmse_uncensored,max_abs_calibration_gap,p_holm,holm_significant,verdict
two_stage_weibull_k20,40,31,9,0.6571180555555556,"[0.522, 0.769]",0.19430144279306127,4.0,15.483870967741936,30.59622578453206,0.044722269202377984,0.16499999999999998,False,A - statistically supported
two_stage_lognormal_k20,40,31,9,0.6432291666666666,"[0.503, 0.758]",0.1961197570583389,3.0,14.774193548387096,28.47522975635876,0.0453719389619629,0.336,False,A - statistically supported
aft_lognormal_k20,40,31,9,0.5980902777777778,"[0.453, 0.727]",0.16465793510518362,4.0,9.870967741935484,18.243867728018074,0.14191672570989544,1.0,False,B - suggestive but uncertain
two_stage_weibull_k5,40,31,9,0.5885416666666666,"[0.456, 0.717]",0.16678235214968956,4.0,8.387096774193548,17.140783284695694,0.1496434629425044,1.0,False,B - suggestive but uncertain
aft_weibull_k20,40,31,9,0.5807291666666666,"[0.427, 0.711]",0.1541747839251273,5.0,9.483870967741936,17.49469965815453,0.16298448204452798,1.0,False,B - suggestive but uncertain
aft_lognormal_k5,40,31,9,0.5737847222222222,"[0.427, 0.721]",0.16302853873689263,3.0,5.774193548387097,8.054251532075186,0.15343223143772522,1.0,False,B - suggestive but uncertain
two_stage_lognormal_k5,40,31,9,0.5737847222222222,"[0.437, 0.705]",0.16203933519279318,5.0,6.032258064516129,9.205538304948329,0.14622536619834903,1.0,False,B - suggestive but uncertain
two_stage_lognormal_k10,40,31,9,0.5685763888888888,"[0.419, 0.713]",0.14711118399564116,3.0,5.838709677419355,9.416868872127226,0.15628147549664406,1.0,False,B - suggestive but uncertain
cox_k5,40,31,9,0.5685763888888888,"[0.428, 0.710]",0.16878962758751773,3.0,7.193548387096774,15.742893942265487,0.09685869925296409,1.0,False,B - suggestive but uncertain
two_stage_weibull_k10,40,31,9,0.5668402777777778,"[0.421, 0.706]",0.14846534784409768,4.0,7.645161290322581,12.967701813451011,0.1491439417638185,1.0,False,B - suggestive but uncertain
aft_lognormal_k10,40,31,9,0.5633680555555556,"[0.397, 0.718]",0.1500494310451717,2.0,5.354838709677419,7.716760142493364,0.1633592910807422,1.0,False,B - suggestive but uncertain
aft_weibull_k5,40,31,9,0.5598958333333334,"[0.421, 0.707]",0.18058490984553333,5.0,9.903225806451612,15.505462096909904,0.1522090394822484,1.0,False,B - suggestive but uncertain
aft_weibull_k10,40,31,9,0.5390625,"[0.369, 0.693]",0.15729739822541083,5.0,7.580645161290323,11.078895950584199,0.16170174438889828,1.0,False,B - suggestive but uncertain
km_train_baseline,40,31,9,0.4765625,"[0.353, 0.615]",0.15782980979124384,3.0,4.870967741935484,6.187917467181117,0.04849690539345719,1.0,False,C - unsupported
train_median_baseline,40,31,9,0.4765625,"[0.353, 0.615]",0.2032692307692308,3.0,4.870967741935484,6.187917467181117,0.34999999999999987,1.0,False,C - unsupported
